"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31"
"25","#россиябудетсвободной","#московскоедело","#россиябудущего","#свободуполитзаключенным","#егоржуков","#свободуегоружукову",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","#свободуполитзаключенным","#росгвардиявспомниочести","#митинг","#выборымосква2019","#одинзавсехивсезаодно","#сядьзатекст","#московскоедело","#дело212","#арестанты212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","#свободуполитзаключенным","#метропикет","#метропикеты","#дело212","#московскоедело","#москва",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","#россия","#московскоедело","#егоржуков",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","#метропикет","#дело212","#московскоедело","#ростовскоедело","#делосети","#новоевеличие","#свободуполитзаключенным","#политзаключенные","#одиночныйпикет",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","#егоржуков","#московскоедело","#будущеероссии","#активнаямолодежь","#единаяроссия","#россия",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","#гитара","#guitar","#girlguitarist","#singer","#песняподгитару","#россиябудетсвободной","#московскоедело","#свободу","#свободуполитзаключенным","#ямыони","#каждыйизнас",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","#ильяновиков","#егоржуков","#ильяновиковадвокат","#чтогдекогда","#свободуегоружукову","#странадолжназнатьсвоихгероев","#свободуполитзаключенным","#честныйчеловек","#честныйчеловеквсемвраг","#первыйканал","#путинлжец","#путинворипредатель","#пудинглор","#путинвор","#медведеввор","#собянинвор","#московскоедело",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","#материпротивполитическихрепрессий","#делохт","#московскоедело","#ростовскоедело","#делошестуна","#делоазатамифтахова","#делоегоракузьминкина","#делометлина","#дело212","#делосети","#новоевеличие","#родительскаясолидарность",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","#repost","#сядьзатекст","#егоржуков","#oxxxymiron","#московскоедело",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","#московскоедело","#егоржуков",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","#rapru","#rap","#oxxxymiron","#рэпру","#рэп","#оксимирон","#егоржуков","#московскоедело","#суд",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","#московскоедело","#сядьзатекст","#россиябудетсвободной","#ямывсястрана",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","#московскоедело","#фильм_фигуранты",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","#московскоедело","#212","#свободуполитзаключенным",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","#егоржуковнеэкстремист","#московскоедело","#свободуегоружукову",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","#московскоедело","#свободуполитзаключенным",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","#московскоедело","#моёмнение","#точказрения","#имеюправо","#почитайте","#последнееслово","#думайтеголовой","#слушайтесердце","#соблюдайтебаланс","#разберитесь",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","#московскоедело",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","#московскоедело","#дело212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","#Россия","#Свобода","#Московскоедело","#Жуков","#Чирцов","#Новиков","#Емельянов","#Мартинцов","#Лесных","#Мыльников","#либертарианскаяпартия","#вшэ","#москва","#37","#репрессии","#цензура","#27июля","#ниувшэ","#высшаяшколаэкономики","#поэзия","#стихотворение","#политика","#liberty","#russia","#hse","#moscow",NA,NA,NA,NA,NA
"46","#rbc","#рбк","#rbcновости","#егоржуков","#московскоедело","#суд","#призывыкэкстремизму","#дело27июля",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","#жуков","#егоржуков","#московскоедело","#суд","#москва","#протесты","#медведев","#дмитриймедведев",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","#московскоедело","#свободуполитзаключенным","#нетрепрессиям",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","#Политзаключённые","#МосковскоеДело","#ЕгорЖуков","#Россия","#Свобода",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","#егоржуков","#ямыегоржуков","#московскоедело","#москва","#россия","#jvcr","#omsk","#russia","#poetry","#mmurk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","#московскоедело",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","#егоржуков","#московскоедело","#оксимирон","#россиябудетсвободной",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","#россиябудущего","#россиябудетсвободной","#ямыпавелустинов","#егоржуков","#московскоедело","#иванголунов","#каабак",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
